id	comentario	data	autor	dominio	avaliacao_dominio	estrelas	avaliacao_conceitual
13	Quando decidi comprar um smartphone pesquisei os top de linha e o galaxy s3 foi o que teve o melhor custo benefício. Este é meu primeiro smartphone e ainda assim não tive dificuldades pra usá-lo, a interface é super intuitiva e fácil. O design é espetacular e a tela gorila glass é show, tenho visto outras marcas de smartphone que com pouco tempo de uso já ficam com a tela toda riscada. A bateria tem uma boa duração, tenho amigos que parece que o cabo de energia faz parte do smartphone. Prós: A quantidade de memoria é suficiente para rodar jogos, vídeos e aplicações sem travar. Qualidade comprovada da samsung. Imagens de alta qualidade. Leve e prático. Se você não abusar de apps pesados a bateria dura de 3 a 4 dias. Na verdade acho esse tempo ótimo para a média atual de outras marcas. Uma coisa que não vejo sendo mencionada e acho que é comum é o celular vir personalizado com ícones de operadoras e tals, eu reinstalei o sistema operaciona original da samsung e foi super rápido e simples, fiz tudo pelo Kies, aplicativo da própria samsung. Contas: As quedas podem ser um problema, então tenha cuidado redobrado. :)	2013-09-24 00:00:00	carlos eduardo si...	buscape		5	PL
14	Ótimo aparelho,seu design é moderno e este aparelho atende as minhas necessidades. Ótima resolução de câmera e aparelho de fácil utilização com vários aplicativos. Acessível em qualquer lugar com bom sinal de conexão e excelente para distração e atividades lúdicas. Recomendo!!!!!!	2013-09-24 00:00:00	vanuzasouzagomes	buscape		5	PL
15	É o primeiro smartphone que eu tenho que a bateria dura mais de um dia. Nunca me deixa na mão.	2013-09-23 00:00:00		buscape		5	IF
16	Não tenho esse produto mas deu uma pesquisada na net e pelo que entendi a Samsung soube unificar em um aparelho tudo que os usuários sempre procuram ao comprar um novo smartphone. Pra quem já teve ou já testou outros modelos da família Galaxy, o S III mostra ao mercado como os aparelhos com processadores de quatro núcleos devem ser. Uma combinação ímpar entre desempenho, processamento gráfico, software, hardware e uma bateria com longa duração. Os pontos fortes justificam seu preço caro	2013-09-22 00:00:00	eva sueli fernand...	buscape		4	SF
17	O smartphone é excelente, além de rápido e extremamente útil para conduzir meu negócio (produtor multimídia, produzo sites e vídeos). Ainda não fiz vídeo profissionalmente, apenas videos pessoais - que ficam muito bons. Estou aprendendo qual a melhor APP para filmar, mas ainda acho q a melhor opção para quem trabalha com vídeo é um iPhone. Para fotos, a câmera é muito boa, só que para fotos com pouca luz (fotografar a lua, por exemplo), ainda precisa de uma câmera semipro. Um ótimo brinde foi o DROPBOX de 50Gb por dois anos, algo q está me facilitando muito. A Girafa foi muito profissional, entregou o produto um pouco além do prazo, mas sempre monitorando pelo site. Estou bem satisfeito.	2013-09-22 00:00:00	e-bit	buscape		5	PL
18	Ótimo...	2013-09-22 00:00:00	e-bit	buscape		5	SF
19	baixar jogo	2013-09-22 00:00:00	pedro	buscape		5	IF
20	Excelente produto.	2013-09-21 00:00:00	e-bit	buscape		5	SF
21	Produto bom, bateria dura pouco, não tem botão dedicado para foto, manual muito pobre, mas vale a pena, recomendo	2013-09-21 00:00:00	e-bit	buscape		4	BM
22	Ótimo aparelho e ainda muito desejado entre os amantes de tecnologia, cumpre oque promete e não deixa a desejar. O galaxy s3 esteve por muito tempo como o melhor smartphone do mercado e não foi atoa, ele traz um potente processador Quad-Core de 1,4 Ghz invejado por muitos outros celulares top de linha, tive a grande oportunidade de testá-lo a um tempo a traz e me impressionou bastante com sua grande tela de 4,8 polegadas que a primeira vista parece dar desconforto por ser muito grande, mais oque acaba acostumando e fazendo você não desejar uma tela menor, e ele também traz a tecnologia super Amoled que nos permite uma experiencia melhor com o produto por trazer cores mais vivas e melhorar a imagem em fotos. Em questão de desempenho é simplesmente perfeito e executa qualquer game da atualidade perfeitamente sem travar ou qualquer outra coisa que frustre a experiencia com o smartphone. A unica coisa que o Galaxy s3 deixa a desejar é a material do que é feito, trazendo uma carcaça de plastico que é parece ser pouco confiável e nos faz pensar que a samsung poderia muito bem ter dado a seu principal laçamento de 2012 um acabamento melhor como foi pedido por muitos fãs da empresa. A minha conclusão é que mesmo que o aparelho já tenha sido superado por seu sucessor e alguns outros top de linha ele ainda vale muito a pena de ser adquirido, principalmente por suas quedas de preço que vem sofrendo chendo ate mesmo a incríveis 999 Reais muito diferente dos seus 2500 de lançamento.	2013-09-19 00:00:00	alison fagundes	buscape		5	BM
23	PROduto bom mas com pouca bateria.	2013-09-19 00:00:00	raquel restelli	buscape		4	SF
24	´´ Olha, Presta atenção. Imagina uma Pessoa que trabalha em um Escritorio super corrido, que precisa fazer Dez coisas ao mesmo tempo como: Anotar recados, Lembrar dos afazeres e Etc. E ainda assim ter que estudar a Noite e Fazer curso. Então esse ´´Sou Eu´´. Precisava de algo que me ajuda-se, que pude-se trabalhar comigo. E tava com um Celular muito Ruim. Foi ae que apareceu o Milagroso Galaxy S III GT-I9300 . ( Risos). Sem Vil de Dúvidas, Esse celular é top de Linha, e se vc quer mesmo ter praticidade, Facilidade e Menos trabalho. Adquira um Galaxy S III GT-I9300.	2013-09-19 00:00:00	gean silva	buscape		5	IF
25	O celular é muito prático com acesso a redes e conversas (watsap), pega a internet em qualquer lugar e seu tamanho é ideal. Tem acesso a livros e textos. É muito útil.	2013-09-19 00:00:00	paula cristina mo...	buscape		4	PL
26	Ótimo produto , a bateria dura mais que outros celulares das próprias marcas , as vezes tem que ter paciência se você já tiver muitos aplicativos mas com o tempo você acostuma pois tem muitos pontos positivos a exemplo, a câmera que é de ótima qualidade!	2013-09-18 00:00:00	jhonathan hebert ...	buscape		5	BM
27	Apesar de não ser o "último tipo", atende plenamente o que eu preciso dele. Meu primeiro Samsung, depois de muito tempo usando Motorola. Não que o meu milestone2 fosse ruim, mas foi como mudar da água do vinho. Pensei que não ia gostar do teclado touch pois gostava muito do qwerty do milestone. Não só gostei e achei muito fácil e preciso, como me arrependo por ter demorado tanto a aderir. A utilização das funcionalidades é ótima, muito fácil e intuitivo. O uso de e-mails e gerenciamento das contas foi outro salto de qualidade. Sem falar da câmera, que é excelente. A bateria não tem aquela duração toda, apesar de já não ser tão ruim. Mas não é bom ficar sem um carregador por perto, pois a partir dos 40% ela despenca. Dependendo do uso, claro. O tamanho é um contra se tiver que guardar no bolso da calça. Só dá se for um bolso bem fundo.	2013-09-18 00:00:00	marcelo afonso lo...	buscape		5	BM
28	Produto resistente, fino, com excelentes recursos e app ilimitados. Bateria de excelente duração para uma tela desse tamanho.	2013-09-18 00:00:00	cleomar dornelas ...	buscape		5	SF
29	Produto de excelente qualidade !!! simplesmente amo !! Sem contar os 4 processadores para melhor desempenho que nenhum outro tem !!!	2013-09-17 00:00:00	poul lopez	buscape		5	SF
30	Sem dúvida o proque da Samsung estar desbancando o Iphone. Sistema operacional livre, vários apps e a qualidade do equipamento. Por menos de 1mil reais (atualmente) não há melhor. Além disso, a opção de expandir a memória + 64 Gb, transforma em um quase tablet . Recomendo sem medo. Abraços!	2013-09-17 00:00:00	dr. roberto	buscape		4	IF
31	Recomendo o celular pois seu processador é um dos mais rapidos do mercado, melhor resolução e desempenho em todos os aspectos.	2013-09-17 00:00:00	eduardo andré str...	buscape		5	BM
32	O aparelho é incrível.Estou apaixonada!	2013-09-16 00:00:00	e-bit	buscape		5	SF
33	ESSE E O MELHOR QUE POSUEI EM TODA A MINHA VIDA .AI VEM UM FILHO DO MALDITO AI ROUBOU O MEU	2013-09-16 00:00:00	gerson da conceic...	buscape		1	IF
34	resolvi compra um smartfhone entao pesquisei em lojas e na internet e o que mais me interresou foi o galaxy s3 pelas suas carcteristicas marcantes e o preço muito em conta e otima qualidade que ele possui.	2013-09-13 00:00:00	jacire inacio da ...	buscape		5	SF
35	Eu não poderia ter escolhido um aparelho melhor do que esse. A tela grande, no meu caso que uso óculos para leitura, facilita muito a visualização. O processador é excelente, desempenha as tarefas com rapidez. O GPS sensacional, a câmera faz fotos lindíssimas... só tenho elogios ao meu smartphone.	2013-09-13 00:00:00	e-bit	buscape		5	BM
36	Muito bom!	2013-09-13 00:00:00	geova!	buscape		4	SF
37	Este smartphone une de forma harmônica as funções de celular e tablet. Com ele consigo de forma prática, executar várias funções profissionais e pessoais sem a necessidade de recorrer a um computador. Leio e envio e-mails, acompanho as notícias e as redes sociais a qualquer hora e lugar! A Samsung só pecou em dois quesitos, resistência e pouca memória RAM (1 Gb), mas comprando uma capa de qualidade e um pouco de cuidado nos aplicativos instalados, tudo se resolve. Recomendo!	2013-09-12 00:00:00	carlos shimabukuro	buscape		4	BM
38	O Samsung Galaxy S III é um produto que ainda vale a pena ser comprado, possui uma tela de 4,8" e a resposta da tela ao toque é muito boa, tem uma câmera de 8 megapixels que não decepciona , mas comparada aos correntes atuais, não é a melhor, o sistema android é um ponto forte possui milhares de aplicativos e será atualizado para o android 4.3 que é a versão mais atual do sistema, além disso, possui um hardware poderoso importante para quem gosta de rodar jogos e aplicativos que exigem muito do smartphone, a bateria é boa, mas como em qualquer celular os usuários que utilizam o smartphone de forma intensa irão perceber que deixa um pouco a desejar, o maior problema em minha opinião é a preocupação em não trincar a tela pois uma queda ou um impacto forte ainda que no bolso pode ser fatal,porém é um celular que possui um bom custo-benefício e tem muitas vantagens, vale a pena comprar.	2013-09-12 00:00:00	cassiano	buscape		5	SF
39	Samsung Galaxy S III é o representante da marca sul-coreana que está no topo da montanha de melhores smartphones do mercado. Ele rivaliza diretamente com o iPhone 4S e com o HTC One X como gadgets de maior poder quando pensamos em celulares. O objetivo da Samsung neste gadget é torná-lo mais humano e também de lembrar algo natural, como uma pedra daquelas que estão no fundo de um rio. Enfim, do lado externo da caixa que protege o gadget encontramos o nome do aparelho, e no fundo há algumas informações sobre características do smartphone. Isso inclui tecnologia utilizada na rede de telefonia, tamanho da tela em polegadas, nome do sistema operacional e outras coisas. Do lado de dentro há uma "cama" para o celular, que quando levantada revela o fone de ouvido tipo in-ear, carregador de tomada, cabo microUSB, borrachas sobressalentes e também os manuais do aparelho. Nada além disso. A caixa é bem simples e, desta vez, não lembra a de algum iPhone - o que é ponto positivo para a Samsung. Porém, ela lembra bastante a do Galaxy Note, só que sem a foto do aparelho estampada na frente. Uma diferença entre ambas as caixas é que no caso do Galaxy S III, os itens estão organizados em seus espaços definidos. Já no smartphone/tablet, ficam todos jogados. Recomendo muito ele é um celular de boa qualidade.	2013-09-11 00:00:00	danielle	buscape		5	SF
40	Pesquisando para compra analisei bem este produto, muito bom, só acho que o preço não estar tão desejável pois já temos muitos lançamentos a frente dele. O mesmo em relação a sua bateria em que sabemos que sua durabilidade assim como outros Smartphone não duram muito, neste ponto tem muito a melhorar.	2013-09-10 00:00:00	ezequiel de lucen...	buscape		5	SF
41	Excelente produto. Completo. Atende a tudo a que se propoe. Recomendo totalmente.	2013-09-10 00:00:00		buscape		5	SF
42	Excelente produto	2013-09-10 00:00:00	fernanda meireles	buscape		5	SF
43	tenho e recomendo ele ! perfeito !	2013-09-09 00:00:00	otavio augusto	buscape		5	SF
44	adorei este celular maravilhoso	2013-09-09 00:00:00	caroline	buscape		5	SF
45	este produto e maravilhoso !!!!!!! a qualidade do produto e maravilhosa ferramentas muito boas , um design lindo , camera e mega ultra boa resolução perfeita .. a unica coisa que eu as vezes tenho contra o produto e o tamanho de deveria ser um pouco menor para pode colocar no bolso da calça mas e um celular bom demais e pra mim melhor do que o Iphone da apple .. recomendo a todos ter um vala a pena o investimento queixou-se :)	2013-09-09 00:00:00	sany karla faria ...	buscape		4	PL
46	Simplesmente ótimo. Um dos melhores smartphones no momento. Camera ótima. Praticamente perfeito. Recomendo a todos.	2013-09-09 00:00:00	mairom grohs de m...	buscape		5	SF
47	O produto é ótimo, mas alguns itens precisam ser melhorados, principalmente quando trava o aparelho e faz-se necessário reinicializar novamente. Os arquivos de vídeos não carregam em qualquer player. E o que realmente deixa o produto inacessivel é o alto custo. Tecnologia é tecnologia, mas diante de um produto tão cobiçado é necessário aumentar a velocidade de processamento para aumenta sua performace de carregamento de arquivos e as extensões de vídeos produzidos neste produtos sejam reproduzidos em qualquer player. O produto precisar melhorar sua robustez, pois apresenta muita fragilidade.	2013-09-09 00:00:00	nivaldo campos	buscape		5	BM
48	É muito bom ele tem todas as funções que um Smartphone precisa a câmera é ótima tiro fotos com a família e todos gostam dos jogos androides graças ao GPS eu ja consegui me salvar de varias enrascadas!	2013-09-08 00:00:00	italo rosa	buscape		5	BM
49	Um bom aparelho, fácil atualização, design muito moderno.	2013-09-07 00:00:00	edna alves	buscape		4	PL
50	Aparelho de excelente qualidade, câmera muito boa, funções gráficas excelentes só achei a capa de proteção um pouco fraca mas resto vale-a pena	2013-09-06 00:00:00	dank	buscape		5	BM
51	fácil acesso a internete e redes sociais, resolução de foto!	2013-09-06 00:00:00	nelson gonçalves ...	buscape		5	SF
52	Minha família sempre teve os smartphones da Samsung. Agora eu tenho o SIII, minha mulher o SIV e meu filho pegou o meu SII. Recomendo para todos... São os TOPS... Já conversei com vários vendedores de celulares.. Pode confiar.	2013-09-06 00:00:00	rômulo de oliveira	buscape		5	SF
53	otima	2013-09-06 00:00:00	xavier	buscape		5	SF
54	O celular de modo geral é muito bom, mas pelo seu valor se espera uma bateria que dure mais e uma tela bem mais resistente, que nao trinque tão fácil como essa.	2013-09-06 00:00:00	felipe	buscape		4	BM
55	Minha opinião sobre esse produto é : ótimos recursos e durabilidade, ligações perfeitas, com ótima sonora, designing maravilhoso, com bons recursos de internet. recomendo a todos que queren um telefone, bonito e durável com bons recursos. eu particularmente amo meu aparelho e não o trocaria por outro.	2013-09-05 00:00:00	thamyris bacaicoa	buscape		5	BM
56	o celular tem muitas coisas boas.eu recomendo o produto porque ele tem muitas coisas legais	2013-09-05 00:00:00	gustavo miguel	buscape		4	IF
57	Excelente	2013-09-05 00:00:00	rafaela maria gab...	buscape		5	SF
58	produto muito bom tenho um s4 e um s3. gosto mais do visual do s3 é realmente um Smartphone muito bom... o processador poderia ser um Snapdragon como o do note 2	2013-09-05 00:00:00	andre da silva	buscape		4	IF
59	Nunca pensei que o um celular fosse capaz de realizar tantas tarefas. É inacreditável o aparelho não falta nem conversar, pois é só seguir as instruções e pronto.	2013-09-05 00:00:00	alexandrino rodri...	buscape		1	IF
60	Tudo que você precisa, esse aparelho te proporciona. Fico mais perto da minha família mais tempo. Completo. Estou muito satisfeita.	2013-09-05 00:00:00	valéria rabelo	buscape		5	SF
61	Tenho um e adoro toda a facilidade e comodidade de todos os aplicativos. muito bom mesmo excelente	2013-09-05 00:00:00	margara aparecida...	buscape		5	SF
62	Eu andava procurando um aparelho que atendesse às minhas exigências, até que encontrei o Samsung Galaxy S3, inovador, design nunca visto em outro aparelho, superou todas as minhas expectativas, o melhor que já possui ate hoje...	2013-09-05 00:00:00	heibiel	buscape		5	SF
63	produto muito bom	2013-09-05 00:00:00	priscila	buscape		5	SF
64	o SIII é um smartphone completa, a bateria tem boa duração, consigo passar o dia com ele sem descarregar, claro q com um uso regrado, mas passo o dia com a 3G ligada. Tem uma tela grande mas confortável e ótima pra quem gosta de assistir vídeos, jogar e navegar na internet. o design quadrado é lindo. É muito fácil de usar, é rápido, para jogos pesados também, além de ter compatibilidade com vários apps disponíveis na Play Store. A câmera é ótima, frontal de 2mp e traseira de 8mp com flash. considero uma ótima compra.	2013-09-05 00:00:00	fernanda freire	buscape		5	BM
65	Ótimo aparelho, só me arrependo de não ter comprado antes.	2013-09-04 00:00:00	e-bit	buscape		5	SF
66	Olá boa tarde acho esse celular ótimo,não tenho um mais minha amiga tem tudo que ele tem e exelente menos o nivel da bateria que acaba rapido gostaria muito de ganhar um obr pela oportunidade de participar desse sorteio quero muito ganhar bjss debora evelyn	2013-09-04 00:00:00	débora evelyn do ...	buscape		5	IF
67	eu gostei deste produto porque a Câmera é ótima ,a memoria interna é grande dá pra ter bastante aplicativos, a tela grande é otima pra navegar na web,assistir a videos.de todos os celulares que eu ja tive esse eu gostei muito.	2013-09-04 00:00:00	josilaine raquel ...	buscape		5	BM
68	Produto ótimo!!! Vale muito a pena!	2013-09-04 00:00:00	brunna pontes	buscape		5	SF
69	exelemte	2013-09-03 00:00:00	julio cesar	buscape		5	SF
70	É um ótimo celular tanto para quem não sabe muito o utilizar, quanto para gente que tem noções mais avançadas. Com certeza recomendo.	2013-09-02 00:00:00	e-bit	buscape		5	SF
71	Este produto é ótimo , recomendo a todos , pois, ele é um celular com uma facilidade de uso muito grande , a cãmera dele é ótima , ele possui um navegador muito rápido , o android dele é 4.1 ou seja , muito rapido e ótimo , ele exteriormente é muito bonito , e grande , e também o sistema de GPS dele , é rápido e perfeito . Bom lhe garanto que ele irá satisfazer a qualquer pessoa que comprá-lo e lhe ajudará muito .	2013-09-01 00:00:00	maria fernanda ri...	buscape		5	BM
72	minha amiga tem e é otimo em tudo só que o dela e dois chips	2013-09-01 00:00:00	isabela braz	buscape		5	IF
73	quando comprei o samsung galaxy s3 logo reparei o seu design, um aparelho fino, moderno, com uma tela de 4.8 polegadas,com 16 milhões de cores... logo fui ligando o aparelho e me impressionei com a velocidade em que ele ligava, levava menos de 30 segundos, logo fui ver sua câmera, com uma linda resolução de 8 mp. uma câmera frontal de 1.9 mp, e além da câmera ser boa ainda tinha cários comandos para tirar foto, comandos em inglês como capture, smile, realmente isso foi uma surpresa pra mim, também fui ao music player e vi também que podia utilizar-se de comandos de voz como, play, pause, previous, next, também fui rodar jogos, e os jogos rodaram maravilhosamente, mas eu tinha que fechar os outros programas que eu estivesse utilizando, também com um processador quadcore pode-se rodar jogos maravilhosamente se nós apenas nos dedicarmos a jogar, também fui ver as funções bluetooh e vi que se pode enviar arquivos para o outro celular apenas tocando nele, no wifi se pode utilizar o celular como roteador, entre várias outras coisas, mais apesar da tela ser grande isso também tem seu ponto negativo, tipo você não pode mexer no aparelho só com uma mão, porque uma hora ou outra você terá que usar a outra mão como auxílio para executar certas funções,a bateria também não durava muito, quando eu não utilizava certos recursos e não executava certos aplicativos, ela durava muito um dia, mais quando eu fazia o oposto ela não durava 9 horas se quer. Essa foi minha avaliação sobre o produto.	2013-09-01 00:00:00	nadison	buscape		4	IF
74	Produto excelente, atende minhas necessidades, roda várias aplicações ao mesmo tempo e não trava, duração da bateria razoável por se tratar de um smartphone.	2013-09-01 00:00:00	william vilaca	buscape		5	SF
75	Lindo, moderno e td que preciso num só aparelho	2013-09-01 00:00:00	alexandra neusa d...	buscape		5	IF
76	Estou acostumado a aumentar o tamanho do texto no Motorola Defy e ajusta-lo a tela virando e revirando o aparelho. Não sei se e possível fazer o mesmo no Samsung S3. Um ponto forte e ler livros e que ele abre documentos PDF. As vezes aparece textos com letra muito pequena e não conseguimos aumentar, mas creio que e problema do site, no Motorola Defy acontecia também . O teclado e bacana, ajuda muito a digitação . O aparelho e poderoso, tem muitas funções que desconheço, e nem quero conhecer, já tenho mais de meio século (rs...) !!!	2013-08-31 00:00:00	e-bit	buscape		4	SF
77	Samsung Galaxy S3 é um smartphone Android com características inovadoras que o tornam uma excelente opção para qualquer tipo de utilização, representando um dos melhores dispositivos móveis já feitos. A tela de 4.8 polegadas é um verdadeiro record que coloca esse Samsung no topo de sua categoria. A resolução também é alta: 1280x720 pixel. As funcionalidades oferecidas pelo Samsung Galaxy S3 são muitas e top de linha. Começando pelo HSPA+ que permite a transferência de dados e excelente navegação na internet, além de conectividade Wi-fi e GPS presente no aparelho. Tem também leitor multimídia, rádio, videoconferência, e bluetooth. Enfatizamos a memória interna de 16 GB com a possibilidade de expansão. Em um smartphone com câmera de 8 megapixels que permite tirar fotos com uma resolução de 3264x2448 pixels e gravar vídeos em full HD a espantosa resolução de 1920x1080 pixels. A espessura de 8.6 milímetros é realmente ótima e torna o Samsung Galaxy S3 ainda mais espetacular. O unicoponto negativo nao tem tv e nao é baratinho.	2013-08-31 00:00:00	angelica alves	buscape		4	BM
78	É um aparelho fácil de carregar e boa visualização do display. A bateria não permanece mais de 36 horas carregada talvez seja má utilização do aparelho ou defeito de fábrica da bateria e tem muitas funções que eu ainda não sei usar. Gostaria de ter mais tempo para manipular e aprender mais desse aparelho.	2013-08-31 00:00:00	krishnamurti rodr...	buscape		5	BM
79	muito bom posso usar no meu serviço para ver Email falar com meus amigos pela reses sociais ,	2013-08-31 00:00:00	joao	buscape		5	SF
80	Muito bom! O aparelho me surpreendeu pela qualidade que apresentou na tela, câmera e velocidade de processamento.	2013-08-30 00:00:00	claudio roberto m...	buscape		5	BM
81	O aparelho é legal, porém com uma pequena queda ele trincou a tela. Continua funcionando mesmo assim, mas.... Enfim, a camera é o ponto alto desse celular. Já a memoria RAM, poderia ser maior. Resumindo, o aparelho é bom	2013-08-29 00:00:00	eduardo r gastaldam	buscape		4	PL
82	Quando fui comprar um celular me apresentaram o Galaxy S3, de princípio fiquei na dúvida, mas fui convenciado pela demonstração do vendedor, e com o tempo utilizando, fiquei hiper satisfeito. A facilidade de poder interagir com o mundo, é excepcional. Poder receber e enviar emails, utilizar as redes do sociais e poder registrar as melhores imagens através da câmera de 8mg é excelente. Fotos e vídeos muitos bons. Ah! E assistir um filme em HD no seu próprio celular é impressionante. Muito satisfeito com o aparelho que não deixa a desejar em nada.	2013-08-29 00:00:00	edson menisus pey...	buscape		5	BM
83	Maguinífico , uma técnologia de ponta dominada e de fácil entendimento em nossas mãos . Extraordinário a técnologia dando acessibilidade aos que ainda não a domina .	2013-08-28 00:00:00	diógenes santos	buscape		5	SF
84	muito boa	2013-08-28 00:00:00	maykon	buscape		4	SF
85	Chegou antes do prazo. E o GALAXY S3 É O CELULAR. SEM ARREPENDIMENTOS.	2013-08-27 00:00:00	e-bit	buscape		5	IF
86	produto muito pratico, ótimo.	2013-08-27 00:00:00		buscape		5	SF
87	Enfim um smart que vale o que custa ! sou fanático por tecnologia, contudo desde a chegada dos famosos iphone! muita tacnologia em pouco espaço e com qualidade. ancioso para ver o que a concorrencia faria para revidar aguardei o lançamento do tão esperado galaxy s III. não me arrependi nem um pouco.tecnologia de ponta com desing moderno e custo beneficio razoavel ! se você procura funcionalidade , ele tem e muitas ! com o androide você tem uma gama incontável de aplicativos , muitos gratis, o que é melhor ainda . sem contar com email. redes sociais e coisas básicas como fotos videos e outros. esses dispensão comentários ! enfim se você procura um smartfone bom , bonito e barato ! não exite. GALAXY seja ele S III ou S IV ( ainda não tive a sorte de testalo ) são os melhores ,	2013-08-27 00:00:00	robson freitas	buscape		5	BM
88	Tamanho de tela ideal para manuseio e graças a expansão de memoria consigo utilizar muitos aplicativos.	2013-08-26 00:00:00	e-bit	buscape		5	SF
89	Sem dúvida um dos melhores smartphones lançados até hoje!!!!tanto em armazenamento como em camera,funções completas e variadas,compatibilidade com os aplicativos android (funciona tudo),processador rápido e facilidade para digitar nossos emails e envio de sms.Já tenho este aparelho há um ano e a única coisa que me incomoda um pouco é a durabilidade da bateria,que se usar o aparelho com o display ligado por duas horas ela se esgota...mas é compreensível pelo tamanho gigante da tela...de 1 a 10 eu daria nota 9,9!Finalizando,é um aparelho para quem quer tudo em uma coisa só...navegar com precisão de pc de mesa na internet,trocar mensagens importantes e realizar chamadas de vídeo...alem de jogar com a melhor qualidade que um aparelho oferecer e ouvir musica com os fones em ótima qualidade!	2013-08-26 00:00:00	leo di giacomo	buscape		5	BM
90	foi maravilhoso ,tudo que quero tenho num so produto ,sinal maravilho ,eu moro na zona rural mesmo assim o sinal e otimo ,varios visinho ja comprara por ser otimo ,recomendo pra varias pessoa nao vao se arrepende ...	2013-08-25 00:00:00	juliane da silva	buscape		5	SF
91	É o meu primeiro smartphone e depois de ver/ouvir opiniões de varias pessoas eu fiz questão deste modelo. Demorei mas finalmente decidi comprar na Cissa magazine por causa do melhor preço após muita pesquisa. Vale cada centavo que gastei! A Cissa magazine também está de parabéns, super de confiança, rapidez na entrega, td de bom assim como o Galaxy SIII.	2013-08-24 00:00:00	e-bit	buscape		5	SF
92	Ótimo produto com um excelente custo-benefício faz quase tudo que um galaxy s4 faz e ainda vai receber algumas funcionalidades do galaxy s4 na próxima atualização.	2013-08-24 00:00:00	luiz	buscape		5	SF
93	É uma marca,e não só isso,nunca tive problemas uma resolução ótima,fácil de manusear,maravilhoso quando falo é porque realmente AMEI a sansumg e não abro mão porque vale a pena. É uma alegria quando filmo minha família,minha neta e mato a saudade olhando apreciando,escutando ela cantar,falar,rir me da uma felicidade sem medida.	2013-08-23 00:00:00	laura	buscape		5	BM
94	amei esse celular,ele é ótimo	2013-08-22 00:00:00	e-bit	buscape		5	SF
